Dave Taylor	19	New York	Candidate C	Female
Carol Brown	40	New York	Candidate C	Female
Eve Miller	24	New York	Candidate C	Male
Grace Smith	27	New York	Candidate C	Male
Judy Williams	35	New York	Candidate B	Female
Eve Smith	38	New York	Candidate C	Male
Ivan Miller	64	New York	Candidate B	Female
Heidi Johnson	41	New York	Candidate A	Female
Frank Wilson	18	New York	Candidate E	Female
Eve Jones	26	New York	Candidate E	Female
Heidi Moore	52	New York	Candidate D	Male
Bob Moore	45	New York	Candidate E	Female
Carol Wilson	64	New York	Candidate D	Female
Dave Davis	21	New York	Candidate C	Female
Alice Wilson	59	New York	Candidate B	Female
Dave Wilson	19	New York	Candidate A	Female
Dave Smith	59	New York	Candidate D	Male
Grace Smith	36	New York	Candidate D	Male
Judy Taylor	63	New York	Candidate C	Male
Ivan Davis	23	New York	Candidate E	Female
Judy Davis	37	New York	Candidate B	Female
Carol Wilson	18	New York	Candidate B	Male
Carol Johnson	36	New York	Candidate D	Male
Bob Johnson	42	New York	Candidate B	Female
Alice Brown	51	New York	Candidate B	Male
Frank Wilson	40	New York	Candidate B	Male
Carol Williams	33	New York	Candidate E	Female
Frank Taylor	25	New York	Candidate A	Male
Bob Johnson	60	New York	Candidate B	Female
Ivan Miller	44	New York	Candidate C	Male
Alice Jones	24	New York	Candidate B	Male
Alice Davis	26	New York	Candidate D	Male
Grace Johnson	47	New York	Candidate B	Female
Alice Smith	45	New York	Candidate A	Male
Bob Taylor	26	New York	Candidate D	Male
Bob Miller	20	New York	Candidate D	Male
Judy Moore	24	New York	Candidate C	Female
Judy Smith	60	New York	Candidate A	Male
Frank Williams	69	New York	Candidate B	Female
Bob Davis	23	New York	Candidate B	Male
Dave Taylor	38	New York	Candidate D	Male
Grace Smith	57	New York	Candidate E	Female
Heidi Johnson	31	New York	Candidate B	Female
Ivan Williams	28	New York	Candidate D	Female
Carol Brown	54	New York	Candidate D	Male
Alice Taylor	52	New York	Candidate B	Female
Judy Miller	53	New York	Candidate B	Female
Heidi Johnson	38	New York	Candidate A	Male
Frank Johnson	46	New York	Candidate E	Female
Ivan Johnson	35	New York	Candidate A	Male
Grace Taylor	63	New York	Candidate A	Male
Heidi Miller	57	New York	Candidate A	Male
Eve Taylor	56	New York	Candidate A	Male
Grace Johnson	57	New York	Candidate A	Male
Alice Miller	64	New York	Candidate B	Female
Dave Williams	64	New York	Candidate E	Female
Ivan Williams	48	New York	Candidate B	Male
Grace Smith	51	New York	Candidate E	Female
Grace Williams	43	New York	Candidate B	Male
Dave Miller	43	New York	Candidate B	Female
Judy Williams	38	New York	Candidate C	Female
Grace Jones	45	New York	Candidate A	Female
Judy Wilson	55	New York	Candidate E	Male
Judy Williams	23	New York	Candidate E	Male
Grace Wilson	41	New York	Candidate A	Male
Alice Moore	50	New York	Candidate C	Male
Ivan Miller	33	New York	Candidate B	Female
Grace Smith	30	New York	Candidate D	Male
Eve Taylor	42	New York	Candidate C	Female
Ivan Moore	48	New York	Candidate A	Female
Bob Taylor	27	New York	Candidate B	Female
Carol Brown	54	New York	Candidate E	Male
Ivan Brown	28	New York	Candidate E	Male
Eve Williams	49	New York	Candidate E	Female
Grace Moore	33	New York	Candidate E	Female
Bob Moore	64	New York	Candidate C	Female
Grace Davis	68	New York	Candidate E	Female
Heidi Smith	51	New York	Candidate D	Female
Dave Smith	22	New York	Candidate A	Male
Grace Davis	24	New York	Candidate D	Female
Grace Moore	64	New York	Candidate C	Male
Dave Moore	69	New York	Candidate B	Female
Bob Miller	39	New York	Candidate A	Female
Heidi Taylor	47	New York	Candidate E	Female
Alice Davis	34	New York	Candidate E	Male
Carol Taylor	67	New York	Candidate E	Female
Judy Moore	25	New York	Candidate D	Female
Eve Wilson	52	New York	Candidate A	Male
Alice Jones	53	New York	Candidate D	Male
Eve Wilson	23	New York	Candidate B	Female
Frank Taylor	48	New York	Candidate E	Male
Heidi Jones	46	New York	Candidate A	Female
Frank Taylor	56	New York	Candidate E	Female
Frank Johnson	67	New York	Candidate E	Male
Judy Wilson	43	New York	Candidate E	Male
Carol Taylor	22	New York	Candidate C	Male
Eve Jones	19	New York	Candidate A	Male
Eve Moore	54	New York	Candidate A	Male
Bob Jones	57	New York	Candidate D	Male
Bob Jones	55	New York	Candidate C	Female
Judy Davis	21	New York	Candidate C	Male
Ivan Brown	30	New York	Candidate C	Male
Judy Smith	44	New York	Candidate A	Female
Frank Johnson	62	New York	Candidate A	Male
Dave Moore	66	New York	Candidate A	Female
Frank Brown	66	New York	Candidate C	Male
Carol Moore	20	New York	Candidate D	Female
Frank Smith	59	New York	Candidate D	Female
Frank Miller	47	New York	Candidate A	Female
Heidi Wilson	25	New York	Candidate D	Male
Carol Moore	31	New York	Candidate A	Female
Bob Brown	61	New York	Candidate C	Male
Bob Brown	55	New York	Candidate D	Male
Carol Smith	69	New York	Candidate B	Female
Dave Taylor	44	New York	Candidate E	Male
Alice Taylor	53	New York	Candidate C	Male
Carol Davis	64	New York	Candidate B	Female
Alice Williams	30	New York	Candidate C	Female
Bob Davis	32	New York	Candidate D	Male
Heidi Moore	22	New York	Candidate D	Female
Eve Taylor	31	New York	Candidate D	Male
Heidi Davis	39	New York	Candidate D	Male
Judy Jones	61	New York	Candidate E	Male
Carol Jones	56	New York	Candidate B	Female
Carol Jones	30	New York	Candidate B	Female
Judy Taylor	54	New York	Candidate D	Male
Ivan Miller	25	New York	Candidate D	Female
Ivan Taylor	23	New York	Candidate B	Female
Dave Williams	45	New York	Candidate A	Female
Grace Brown	29	New York	Candidate C	Female
Eve Jones	60	New York	Candidate D	Male
Alice Davis	59	New York	Candidate D	Female
Bob Williams	34	New York	Candidate D	Female
Dave Smith	58	New York	Candidate E	Female
Eve Davis	36	New York	Candidate C	Male
Eve Taylor	28	New York	Candidate B	Female
Eve Brown	65	New York	Candidate B	Male
Alice Miller	31	New York	Candidate B	Male
Eve Smith	38	New York	Candidate E	Male
Frank Jones	30	New York	Candidate D	Female
Carol Smith	51	New York	Candidate E	Male
Ivan Johnson	39	New York	Candidate B	Female
Heidi Johnson	28	New York	Candidate E	Male
Heidi Williams	32	New York	Candidate D	Male
Bob Smith	32	New York	Candidate D	Male
Eve Jones	61	New York	Candidate C	Female
Frank Smith	22	New York	Candidate B	Male
Bob Williams	32	New York	Candidate A	Male
Judy Jones	61	New York	Candidate A	Male
Ivan Johnson	30	New York	Candidate C	Male
Eve Jones	36	New York	Candidate C	Female
Ivan Davis	65	New York	Candidate A	Female
Dave Moore	34	New York	Candidate C	Male
Ivan Smith	23	New York	Candidate B	Male
Frank Taylor	58	New York	Candidate C	Male
Bob Taylor	54	New York	Candidate D	Male
Carol Miller	59	New York	Candidate B	Female
Frank Jones	37	New York	Candidate D	Male
Frank Miller	29	New York	Candidate B	Female
Judy Davis	33	New York	Candidate C	Female
Frank Moore	43	New York	Candidate D	Female
Carol Brown	27	New York	Candidate E	Female
Dave Johnson	54	New York	Candidate B	Male
Heidi Davis	29	New York	Candidate A	Female
Heidi Brown	36	New York	Candidate B	Female
Bob Moore	18	New York	Candidate B	Male
Bob Miller	33	New York	Candidate A	Female
Grace Moore	64	New York	Candidate D	Male
Frank Miller	49	New York	Candidate B	Male
Alice Johnson	59	New York	Candidate B	Male
Bob Johnson	53	New York	Candidate D	Female
Dave Jones	59	New York	Candidate E	Male
Bob Smith	33	New York	Candidate C	Female
Heidi Moore	35	New York	Candidate C	Male
Heidi Wilson	43	New York	Candidate A	Male
Bob Wilson	61	New York	Candidate A	Male
Grace Davis	48	New York	Candidate B	Male
Grace Brown	37	New York	Candidate B	Female
Judy Jones	23	New York	Candidate A	Male
Alice Moore	65	New York	Candidate C	Female
Bob Wilson	35	New York	Candidate D	Male
Frank Smith	43	New York	Candidate E	Male
Heidi Brown	51	New York	Candidate A	Male
Alice Williams	66	New York	Candidate D	Female
Bob Jones	28	New York	Candidate C	Male
Ivan Davis	23	New York	Candidate B	Female
Dave Miller	47	New York	Candidate E	Female
Carol Miller	48	New York	Candidate C	Female
Alice Williams	59	New York	Candidate C	Female
Carol Johnson	61	New York	Candidate B	Male
Ivan Taylor	58	New York	Candidate C	Male
Frank Jones	60	New York	Candidate A	Male
Bob Wilson	26	New York	Candidate B	Male
Grace Johnson	28	New York	Candidate C	Female
Heidi Jones	58	New York	Candidate D	Female
Carol Miller	24	New York	Candidate E	Female
Alice Johnson	36	New York	Candidate D	Female
Heidi Brown	65	New York	Candidate D	Female
Eve Moore	55	New York	Candidate D	Male
Eve Johnson	31	New York	Candidate B	Male
Heidi Jones	41	New York	Candidate D	Male
Ivan Brown	69	New York	Candidate E	Male
Alice Miller	28	New York	Candidate E	Female
Judy Jones	35	New York	Candidate A	Female
Grace Johnson	21	New York	Candidate A	Male
Heidi Davis	26	New York	Candidate A	Male
Alice Johnson	20	New York	Candidate E	Male
Alice Smith	23	New York	Candidate C	Male
Ivan Moore	19	New York	Candidate B	Female
Heidi Jones	65	New York	Candidate E	Male
Eve Smith	67	New York	Candidate E	Male
Carol Davis	19	New York	Candidate B	Male
Alice Brown	25	New York	Candidate A	Female
Grace Williams	56	New York	Candidate B	Male
Bob Smith	42	New York	Candidate A	Female
Bob Moore	30	New York	Candidate C	Male
Frank Miller	30	New York	Candidate E	Male
Bob Moore	43	New York	Candidate C	Female
Eve Davis	64	New York	Candidate E	Male
Alice Johnson	29	New York	Candidate C	Female
Carol Jones	54	New York	Candidate E	Male
Grace Miller	40	New York	Candidate E	Male
Grace Brown	65	New York	Candidate C	Male
Eve Miller	24	New York	Candidate E	Female
Grace Wilson	35	New York	Candidate D	Female
Heidi Brown	68	New York	Candidate E	Male
Eve Miller	54	New York	Candidate E	Male
Frank Smith	37	New York	Candidate C	Female
Carol Davis	50	New York	Candidate B	Female
Dave Taylor	66	New York	Candidate C	Female
Bob Taylor	57	New York	Candidate B	Male
